Name	1y Ret	3y Ret	Sharp	Sortino	Ann Ret	Vol	Max DD	Days
矿业ETF_561330	133.88%	108.17%	1.3210	1.8154	44.89%	31.35%	-24.68%	805
浙商之江凤凰ETF_512190	54.94%	58.89%	1.2790	1.6771	25.69%	19.34%	-17.64%	1567
工程机械ETF_560280	44.84%	-	1.2407	1.8582	33.16%	25.82%	-20.59%	563
电信ETF易方达_563010	34.58%	-	1.2091	1.9884	34.55%	28.03%	-21.33%	620
半导体设备ETF_561980	61.73%	-	1.1508	2.1396	42.46%	36.52%	-31.90%	598
中证2000ETF华夏_562660	55.72%	-	1.1198	1.4248	33.99%	30.30%	-33.95%	582
石油ETF_561360	52.78%	-	0.9863	1.2376	21.26%	22.06%	-21.53%	562
银行ETF华夏_515020	5.56%	47.63%	1.0061	1.5302	15.67%	16.13%	-15.06%	1514
沪港深500ETF富国_517100	19.18%	36.54%	0.9297	1.2528	16.97%	17.76%	-17.66%	1186
中证500ETF国联_515550	41.67%	38.93%	0.8468	1.2052	20.06%	24.55%	-22.70%	1497
